"","coef_name","coef_value","odds_value"
"1","intercept",-0.856682864262254,0.424568099068825
"2","count0-2",-0.651038038332733,0.52150415439432
"3","count0-1",-0.448743209454445,0.638430020439338
"4","count1-2",-0.391699419264888,0.675907248127497
"5","pitch_number",-0.232952675084776,0.792191063012112
"6","pitch_nameSinker",0.108454205943857,1.11455386742728
"7","vz0",0.0137351980782487,1.0138299592689
"8","count3-0",0.00943212732756249,1.00947675002584
"9","vx0",-0.00783265078398958,0.992197944492345
"10","az",0.00638884403760641,1.00640929623377
"11","ax",-0.00434605130211931,0.995663379112206
"12","vy0",-0.0027075708703639,0.99729609129371
"13","fld_score",0.00219444968709391,1.00219685925404
"14","ay",-0.00183374986775006,0.998167930424303
"15","at_bat_number",-0.00108484750219162,0.998915740732126
"16","effective_speed",0.000600048272325106,1.0006002283373
"17","release_spin_rate",0.000337588027059515,1.00033764501631
"18","spin_axis",-0.000334148172925481,0.999665907648357
"19","pitcher_season_pitches_thrown",0.0000142890769141908,1.000014289179
"20","ump_season_pitches_called",-0.00000808176374679519,0.999991918268911
